"kingdom","phylum","class","order","family","genus","species","comm_name","g_yr"
"Animalia","Arthropoda","Malacostraca","Decapoda","Menippidae","Pseudocarcinus","Pseudocarcinus gigas","Tasmanian giant crab",NA
"Animalia","Mollusca","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis iris","Blackfoot abalone",NA
"Animalia","Mollusca","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis spp","Paua",NA
"Animalia","Mollusca","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis midae","South African abalone",NA
"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus fuegensis","Southern sardine",3.67117677664174
"Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Pleuroncodes","Pleuroncodes monodon","Red squat lobster",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Cervimunida","Cervimunida johni","Blue squat lobster",NA
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Zearaja","Zearaja chilensis","Yellownose skate",19.6485496106863
"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella spp","Sardinella",3.04285581677553
"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Pseudotolithus","Pseudotolithus spp","Croaker",5.59778171138734
"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Pomadasys","Pomadasys spp","Grey grunt",4.17087698813935
"Animalia","Chordata","Actinopterygii","Siluriformes","Ariidae","Arius","Arius spp","Catfish",7.21753041999884
"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Cynoglossidae","Cynoglossus","Cynoglossus spp","Sole",5.24643983684711
"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Dentex","Dentex spp","Seabream",8.53566615728638
"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus spp","Coastal shrimp",NA
"Animalia","Mollusca","Cephalopoda","Sepiida","Sepiidae","Sepia","Sepia spp","Cuttlefish",NA
"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Ostrea","Ostrea chilensis","Dredge oyster",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes japonicus","Beni-zuwai crab",NA
"Animalia","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Oratosquilla","Oratosquilla oratoria","Shako",NA
"Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Waved whelk",NA
"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Placopecten","Placopecten magellanicus","Sea scallop",NA
"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Patinopecten","Patinopecten caurinus","Weathervane scallop",NA
"Animalia","Mollusca","Bivalvia","Veneroida","Mactridae","Spisula","Spisula solidissima","Atlantic surfclam",NA
"Animalia","Mollusca","Bivalvia","Veneroida","Mactridae","Mactromeris","Mactromeris polynyma","Arctic surfclam",NA
"Animalia","Mollusca","Bivalvia","Venerida","Arcticidae","Arctica","Arctica islandica","Ocean quahog",NA
"Animalia","Mollusca","Bivalvia","Myida","Myidae","Mya","Mya arenaria","Softshell clam ",NA
"Animalia","Mollusca","Bivalvia","Adapedonta","Hiatellidae","Panopea","Panopea generosa","Pacific Geoduck",NA
"Animalia","Mollusca","Cephalopoda","Myopsida","Loliginidae","Loligo","Doryteuthis pealeii","Longfin inshore squid",NA
"Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Illex","Illex illecebrosus","Northern shortfin squid",NA
"Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Octopus","Octopus vulgaris","Octopus",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus esculentus","Brown tiger shrimp",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus semisulcatus","Grooved tiger prawn",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Parapenaeus","Parapenaeus longirostris","Deep-water rose shrimp",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Aristeidae","Aristaeomorpha","Aristaeomorpha foliacea","Giant red shrimp",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Aristeidae","Aristeus","Aristeus antennatus","Red shrimp",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Pandalus borealis","Northern shrimp",NA
