"kingdom","phylum","class","order","family","genus","species","comm_name","g_yr"
"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Pandalus montagui","Aesop shrimp",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalopsis","Pandalopsis dispar","Sidestripe shrimp",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Heterocarpus","Heterocarpus reedi","Nylon shrimp",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","American lobster",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Nephrops","Nephrops norvegicus","Norway lobster",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","Paralithodes camtschaticus","Red king crab",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","Paralithodes platypus","Blue king crab",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes opilio","Snow crab",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes bairdi","Tanner crab",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Rock crab",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes sapidus","Blue Crab",NA
"Animalia","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Squilla","Squilla mantis","Spottail mantis shrimp",NA
"Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","Green sea urchin",NA
"Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Lamna nasus","Porbeagle shark",20.4200158448286
"Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus","Shortfin mako",18.1227438931488
"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","Rhizoprionodon terraenovae","Atlantic sharpnose shark",5.20016431075127
"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus canis","Smooth dogfish",12.5616029753089
"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","Dusky shark",32.7639934415862
"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus plumbeus","Sandbar shark",22.2137323348923
"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus acronotus","Blacknose shark",9.17000172540452
"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus","Blacktip shark",10.0591562246926
"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus isodon","Finetooth shark",9.18597132791597
"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca","Blue shark",14.4986152166115
"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna tiburo","Bonnethead shark",8.08311481624715
"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna lewini","Scalloped hammerhead",19.9249648090999
"Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","Spiny dogfish",23.446591063539
"Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus suckleyi","Spotted spiny dogfish",36.5276737241636
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja binoculata","Big skate",12.5868689209395
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja rhina","Longnose skate",14.1773007024158
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja eglanteria","Clearnose skate",10.5655122066588
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja brachyura","Blonde ray",12.8636198356317
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja clavata","Thornback skate",13.0344557363599
"Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja parmifera","Alaska skate",18.7909410640818
"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Herring",9.09397706707385
"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","Sardine",6.49804571576141
"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","Atlantic menhaden",4.98120830804354
"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","Brevoortia patronus","Gulf menhaden",4.21092792284831
"Animalia","Chordata","Actinopterygii","Clupeiformes","Dussumieriidae","Etrumeus","Etrumeus sadina","Round herring",3.23029835582461
"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella aurita","Round sardinella",4.0717210928234
"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprat",3.84993068331996
"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardina","Sardina pilchardus","European pilchard",5.60963976421492
"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Anchovy",2.97362429129758
"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis japonicus","Japanese anchovy",1.78870396225854
"Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Pink salmon",4.02958601099184
"Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus keta","Chum salmon",3.75072432914297
"Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka","Sockeye salmon",4.04115727445934
"Animalia","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","Capelin",3.13110526716977
"Animalia","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys","Thaleichthys pacificus","Eulachon",4.17036502752098
"Animalia","Chordata","Actinopterygii","Osmeriformes","Argentinidae","Argentina","Argentina silus","Greater silver smelt",9.89280209800494
"Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius americanus","Monkfish",14.3360943363136
"Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius piscatorius","White anglerfish",9.32792963472871
"Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius budegassa","Black bellied angler",10.282707518356
"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Pacific cod",6.11288008136262
"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Atlantic cod",9.09524086501685
"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Theragra","Theragra chalcogramma","Walleye pollock",6.21938278503483
"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollock",12.1348697897267
"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius pollachius","European pollack",6.82250296480468
"Animalia","Chordata","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis chuss","Red hake",9.20507426166449
"Animalia","Chordata","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis tenuis","White hake",13.0436481590631
"Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","Brosme","Brosme brosme","Cusk",12.5289674713135
"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Haddock",7.28675103307627
"Animalia","Chordata","Actinopterygii","Gadiformes","Phycidae","Phycis","Phycis blennoides","Greater forkbeard",5.96664079197052
"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Trisopterus","Trisopterus minutus","Poor cod",3.07142776673252
"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","Norway Pout",2.45555042684558
"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Merlangius","Merlangius merlangus","Whiting",5.43731133994248
"Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","Molva","Molva molva","Ling",12.2912336957294
"Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","Molva","Molva dypterygia","Blue ling",12.3008001843739
"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","Blue whiting",6.04709127912748
"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius australis","Southern blue whiting",10.5046403359932
"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","Silver Hake",5.74439011935408
"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius productus","Pacific hake",6.53669666764688
"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius","Hake",9.69307723997866
"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius paradoxus","Deep-water cape hake",11.0068286651276
"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","Southern hake",12.1489657213016
"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius capensis","Shallow-water cape hake",13.6008379515571
"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius gayi gayi","South Pacific Hake",7.97798050257068
"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius hubbsi","Argentine hake",7.24440250610744
"Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes","New Zealand ling",15.2323288564609
"Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","Genypterus capensis","Kingklip",12.0212650992719
"Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides rupestris","Roundnose grenadier",22.0782259802419
"Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Macrourus","Macrourus berglax","Roughhead grenadier",22.4179503079594
"Animalia","Chordata","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis","Cololabis saira","Pacific saury",3.04509584815214
"Animalia","Chordata","Actinopterygii","Beryciformes","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus","Orange roughy",17.483834986086
"Animalia","Chordata","Actinopterygii","Beryciformes","Berycidae","Beryx","Beryx spp","Beryx spp.",11.2712684269232
"Animalia","Chordata","Actinopterygii","Beryciformes","Berycidae","Beryx","Beryx splendens","Alfonsino",10.0189985027133
"Animalia","Chordata","Actinopterygii","Perciformes","Caproidae","Capros","Capros aper","Boarfish",6.2624987343604
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes spp","Sebastes species",23.8153929759545
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes aleutianus","Rougheye rockfish",41.8816329716759
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Pacific ocean perch",22.9035535344329
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes auriculatus","Brown rockfish",23.8153929759545
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes aurora","Aurora rockfish",23.8153929759545
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes borealis","Shortraker rockfish",39.5123785632093
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes caurinus","Copper rockfish",23.5858215569172
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes crameri","Darkblotched rockfish",30.0266888458574
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes diploproa","Splitnose Rockfish",23.8153929759545
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes elongatus","Greenstriped rockfish",21.0132421912009
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes entomelas","Widow rockfish",23.8153929759545
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes flavidus","Yellowtail rockfish",26.2104495739408
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes goodei","Chilipepper rockfish",14.3179187246701
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes jordani","Shortbelly rockfish",14.2039813093025
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes maliger","Quillback rockfish",23.8153929759545
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes melanops","Black rockfish",19.6050602813442
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes melanostomus","Blackgill rockfish",39.4278814175597
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes mystinus","Blue rockfish",18.1081217810383
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes nebulosus","China rockfish",23.8153929759545
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes paucispinis","Bocaccio",18.9978641844141
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes pinniger","Canary rockfish",38.0719387256601
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes polyspinis","Northern rockfish",21.2784977249815
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes ruberrimus","Yelloweye rockfish",45.1563415473852
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes zacentrus","Sharpchin rockfish",26.3875305316146
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes chlorostictus","Greenspotted rockfish",23.8153929759545
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes levis","Cowcod",25.4269581781677
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes mentella","Deepwater redfish",29.0854937173477
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes rufus","Bank Rockfish",23.8153929759545
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes carnatus","Gopher rockfish",23.8153929759545
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes fasciatus","Acadian redfish",16.7105070671539
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes norvegicus","Golden Redfish",28.7673013819787
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus","Sebastolobus alascanus","Shortspine thornyhead",50.885744768187
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus","Sebastolobus altivelis","Longspine thornyhead",32.9830551383337
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus","Sebastolobus macrochir","Broadbanded thornyhead",28.8162978385115
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena","Scorpaena guttata","California scorpionfish",9.56328864263905
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla","Eutrigla gurnardus","Grey gurnard",6.46817314980965
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","Hexagrammos decagrammus","Kelp greenling",4.3448937597847
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","Ophiodon elongatus","Lingcod",7.25635361072457
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Pleurogrammus","Pleurogrammus monopterygius","Atka mackerel",5.57653885880863
"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Sablefish",9.69171508651479
"Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","Morone","Morone saxatilis","Striped bass",13.1092024999449
"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Centropristis","Centropristis striata","Black sea bass",5.0954066838628
"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus","Epinephelus itajara","Goliath grouper",17.1627648711244
"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus","Hyporthodus flavolimbatus","Yellowedge grouper",13.497962779764
"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus","Epinephelus morio","Red grouper",13.2125947942819
"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus","Hyporthodus niveatus","Snowy grouper",16.5952841745163
"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Mycteroperca","Mycteroperca microlepis","Gag",11.4942718825695
"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci","Black grouper",14.5365926243189
"Animalia","Chordata","Actinopterygii","Perciformes","Epigonidae","Epigonus","Epigonus telescopus","Black cardinalfish",33.6915412119579
"Animalia","Chordata","Actinopterygii","Perciformes","Epigonidae","Epigonus","Epigonus crassicaudus","Deepwater cardinalfish",14.932945304954
"Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","Caulolatilus microps","Blueline tilefish",9.5778057724505
"Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Lopholatilus","Lopholatilus chamaeleonticeps","Tilefish",18.5642887777083
"Animalia","Chordata","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix","Bluefish",7.0476587019227
"Animalia","Chordata","Actinopterygii","Perciformes","Rachycentridae","Rachycentron","Rachycentron canadum","Cobia",6.37799410774136
"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus trachurus","Horse mackerel",6.89216211415692
"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus mediterraneus","Mediterranean horse mackerel",5.54975574311347
"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus picturatus","Blue jack mackerel",8.54769692937444
"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus trecae","Cunene horse mackerel",5.83264551225912
"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus murphyi","Chilean jack mackerel",11.886716717435
"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus capensis","Cape horse mackerel",7.2187472750812
"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Pseudocaranx","Pseudocaranx dentex","Trevally",5.97426264089037
"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Seriola","Seriola dumerili","Greater amberjack",5.71125991826071
"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Seriola","Seriola quinqueradiata","Japanese amberjack",5.36034178716605
"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Decapterus","Decapterus muroadsi","Amberstripe scad",1.86864157164202
"Animalia","Chordata","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis trutta","Australian salmon",4.71650316253668
"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus analis","Mutton snapper",10.7146899474054
"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus campechanus","Red snapper",10.4136849408875
"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus vivanus","Silk snapper",13.5742176204609
"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Etelis","Etelis coruscans","Flame snapper",10.9803743586003
"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Ocyurus","Ocyurus chrysurus","Yellowtail snapper",8.13522863405252
"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Rhomboplites","Rhomboplites aurorubens","Vermilion snapper",9.01916104478712
"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Pristipomoides","Pristipomoides filamentosus","Crimson jobfish",7.87227517766393
"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Pristipomoides","Pristipomoides sieboldii","Lavender jobfish",6.04626019359376
"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Brachydeuterus","Brachydeuterus auritus","Bigeye grunt",3.96434226272027
"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Stenotomus","Stenotomus chrysops","Scup",8.26598762944073
"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Archosargus","Archosargus rhomboidalis","Sea bream",1.8961862461185
"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Pagrus","Pagrus pagrus","Common seabream",9.02958457244647
"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Pagellus","Pagellus bogaraveo","Red seabream",9.94381759864568
"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Pagellus","Pagellus erythrinus","Common pandora",7.41210968218526
"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Dentex","Dentex macrophthalmus","Large-eye dentex",7.44270720351949
"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Chrysophrys","Pagrus auratus","New Zealand snapper",13.9898929866244
"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","Cynoscion regalis","Weakfish",7.92386214627213
"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Micropogonias","Micropogonias undulatus","Atlantic croaker",3.39606414963308
"Animalia","Chordata","Actinopterygii","Perciformes","Mullidae","Mullus","Mullus surmuletus","Surmullet",4.93661405058144
"Animalia","Chordata","Actinopterygii","Perciformes","Mullidae","Mullus","Mullus barbatus barbatus","Red mullet",5.25902612380845
"Animalia","Chordata","Actinopterygii","Perciformes","Cheilodactylidae","Nemadactylus","Nemadactylus macropterus","Hawaiian morwong",17.5455680379323
"Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","Dicentrarchus","Dicentrarchus labrax","European seabass",10.377323017774
"Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Sea mullet",8.0263613719123
"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Lachnolaimus","Lachnolaimus maximus","Hogfish",7.62967654574387
"Animalia","Chordata","Actinopterygii","Perciformes","Trichodontidae","Arctoscopus","Arctoscopus japonicus","Sailfin sandfish",6.85336930027138
"Animalia","Chordata","Actinopterygii","Perciformes","Uranoscopidae","Kathetostoma","Kathetostoma giganteum","Giant stargazer",8.18904778217115
