,assessid,stockid,region,country_primary,fao_area
1,NEFSC-ACADREDGOMGB-1913-2014-SISIMP2016,ACADREDGOMGB,US East Coast,USA,21
2,INIDEP-ACMACKSARG-1989-2016-BURATTI,ACMACKSARG,South America,Argentina,41
3,SPRFMO-AFLONCH-1998-2011-CHING,AFLONCH,South America,Chile,87
4,ICCAT-ALBAMED-1951-2016-PONS,ALBAMED,Mediterranean-Black Sea,Spain,37
5,ICCAT-ALBANATL-1930-2016-PONS,ALBANATL,Atlantic Ocean,Spain,27
6,ISC-ALBANPAC-1952-2015-PONS,ALBANPAC,Pacific Ocean,Japan,61
7,ICCAT-ALBASATL-1951-2016-PONS,ALBASATL,Atlantic Ocean,Taiwan,47
8,SPC-ALBASPAC-1952-2015-PONS,ALBASPAC,Pacific Ocean,Taiwan,81
9,AFSC-ALPLAICBSAI-1975-2015-SISIMP2016,ALPLAICBSAI,US Alaska,USA,67
10,AFSC-ALSKABSAI-1950-2015-SISIMP2016,ALSKABSAI,US Alaska,USA,67
11,NEFSC-AMPL5YZ-1980-2014-SISIMP2016,AMPL5YZ,US East Coast,USA,21
12,STECF-ANCHMEDGSA17-18-1975-2015-OSIO,ANCHMEDGSA17-18,Mediterranean-Black Sea,Italy,37
13,STECF-ANCHMEDGSA6-1945-2015-OSIO,ANCHMEDGSA6,Mediterranean-Black Sea,Spain,37
14,STECF-ANCHMEDGSA9-2006-2015-OSIO,ANCHMEDGSA9,Mediterranean-Black Sea,Italy,37
15,WGHANSA-ANCHOBAYB-1986-2015-ICESIMP2016,ANCHOBAYB,European Union,Spain,27
16,MARAM-ANCHOSA-1949-2015-deMoor,ANCHOSA,South Africa,South Africa,47
17,FAFRFJ-APOLLNSJ-1970-2013-JPNIMP2016,APOLLNSJ,Japan,Japan,61
18,FAFRFJ-APOLLPJPN-1975-2013-JPNIMP2016,APOLLPJPN,Japan,Japan,61
19,AFSC-ARFLOUNDBSAI-1976-2015-SISIMP2016,ARFLOUNDBSAI,US Alaska,USA,67
20,AFSC-ARFLOUNDGA-1961-2015-SISIMP2016,ARFLOUNDGA,US Alaska,USA,67
21,NWFSC-ARFLOUNDPCOAST-1914-2015-SISIMP2016,ARFLOUNDPCOAST,US West Coast,USA,67
22,INIDEP-ARGANCHONARG-1989-2016-PARMA,ARGANCHONARG,South America,Argentina,41
23,INIDEP-ARGANCHOSARG-1989-2015-BURATTI,ARGANCHOSARG,South America,Argentina,41
24,INIDEP-ARGHAKENARG-1985-2014-PARMA,ARGHAKENARG,South America,Argentina,41
25,INIDEP-ARGHAKESARG-1986-2015-PARMA,ARGHAKESARG,South America,Argentina,41
26,ICCAT-ATBTUNAEATL-1951-2016-PONS,ATBTUNAEATL,Atlantic Ocean,Spain,27
27,ICCAT-ATBTUNAWATL-1951-2016-PONS,ATBTUNAWATL,Atlantic Ocean,USA,21
28,AFSC-ATKABSAI-1977-2015-SISIMP2016,ATKABSAI,US Alaska,USA,67
29,NWFSC-AUROCKPCOAST-1916-2013-SISIMP2016,AUROCKPCOAST,US West Coast,USA,67
30,CSIRO-BGRDRNSWWA-1960-2012-MOESENEDER,BGRDRNSWWA,Australia,Australia,57
31,ICCAT-BIGEYEATL-1950-2016-PONS,BIGEYEATL,Atlantic Ocean,Japan,34
32,SPC-BIGEYECWPAC-1950-2015-PONS,BIGEYECWPAC,Pacific Ocean,Japan,71
33,IATTC-BIGEYEEPAC-1954-2016-PONS,BIGEYEEPAC,Pacific Ocean,Japan,77
34,CSIRO-BIGHTREDSE-1960-2014-MOESENEDER,BIGHTREDSE,Australia,Australia,81
35,SWFSC-BLACKROCKCAL-1916-2015-SISIMP2016,BLACKROCKCAL,US West Coast,USA,77
36,NWFSC-BLACKROCKORECOAST-1892-2015-SISIMP2016,BLACKROCKORECOAST,US West Coast,USA,67
37,NWFSC-BLACKROCKWASH-1940-2015-SISIMP2016,BLACKROCKWASH,US West Coast,USA,67
38,WGDEEP-BLINGVb-VI-VII-1966-2016-ICESIMP2016,BLINGVb-VI-VII,European Union,France,27
39,ISC-BLSHARNPAC-1971-2012-ASHBROOK,BLSHARNPAC,Pacific Ocean,Japan,77
40,SEFSC-BLTILESATLC-1974-2011-SISIMP2016,BLTILESATLC,US Southeast and Gulf,USA,31
41,NEFSC-BLUEFISHATLC-1985-2014-SISIMP2016,BLUEFISHATLC,US East Coast,USA,21
42,FAFRFJ-BMACKECS-1992-2013-JPNIMP2016,BMACKECS,Japan,Japan,61
43,FAFRFJ-BMACKPJPN-1982-2013-JPNIMP2016,BMACKPJPN,Japan,Japan,61
44,SEFSC-BNOSESHARATL-1950-2009-SISIMP2016,BNOSESHARATL,US Southeast and Gulf,USA,31
45,SWFSC-BOCACCSPCOAST-1935-2013-SISIMP2016,BOCACCSPCOAST,US West Coast,USA,77
46,FAFRFJ-BRMSOJ-1980-2013-JPNIMP2016,BRMSOJ,Japan,Japan,61
47,SWFSC-BRNROCKPCOAST-1916-2012-SISIMP2016,BRNROCKPCOAST,US West Coast,USA,77
48,NEFSC-BSBASSMATLC-1968-2011-SISIMP2016,BSBASSMATLC,US East Coast,USA,21
49,SEFSC-BSBASSSATL-1978-2012-SISIMP2016,BSBASSSATL,US Southeast and Gulf,USA,31
50,WGWIDE-BWHITNEA-1980-2015-ICESIMP2016,BWHITNEA,European Union,Norway,27
51,SWFSC-CALSCORPSCAL-1914-2015-SISIMP2016,CALSCORPSCAL,US West Coast,USA,77
52,NWWG-CAPEIIa-V-XIV-1978-2016-ICESIMP2016,CAPEIIa-V-XIV,Europe non EU,Iceland,27
53,IFOPCH-CHERRCHVX-1960-2012-CHING,CHERRCHVX,South America,Chile,87
54,SWFSC-CHILISPCOAST-1892-2015-SISIMP2016,CHILISPCOAST,US West Coast,USA,77
55,NWFSC-CHROCKCPCOAST-1900-2015-SISIMP2016,CHROCKCPCOAST,US West Coast,USA,67
56,SWFSC-CHROCKNPCOAST-1900-2015-SISIMP2016,CHROCKNPCOAST,US West Coast,USA,67
57,NWFSC-CHROCKSPCOAST-1900-2015-SISIMP2016,CHROCKSPCOAST,US West Coast,USA,77
58,SPRFMO-CHTRACCH-1969-2015-PARMA,CHTRACCH,South America,Chile,87
