,assessid,stockid,region,country_primary,fao_area
59,SWFSC-CMACKPCOAST-1983-2015-SISIMP2016,CMACKPCOAST,US West Coast,USA,77
60,FAFRFJ-CMACKPJPN-1970-2013-JPNIMP2016,CMACKPJPN,Japan,Japan,61
61,FAFRFJ-CMACKTSST-1973-2013-JPNIMP2016,CMACKTSST,Japan,Japan,61
62,SEFSC-COBGM-1927-2011-SISIMP2016,COBGM,US Southeast and Gulf,USA,31
63,SEFSC-COBSATLC-1950-2011-SISIMP2016,COBSATLC,US Southeast and Gulf,USA,31
64,DFO-COD5Zjm-1978-2015-SISIMP2016,COD5Zjm,Canada East Coast,Canada,21
65,WGBFAS-CODBA2224-1993-2016-ICESIMP2016,CODBA2224,European Union,Denmark,27
66,WGBFAS-CODBA2532-1965-2016-ICESIMP2016,CODBA2532,European Union,Poland,27
67,NWWG-CODFAPL-1957-2016-ICESIMP2016,CODFAPL,Europe non EU,Faroe Islands,27
68,NWWG-CODICE-1952-2016-ICESIMP2016,CODICE,Europe non EU,Iceland,27
69,WGNSSK-CODIIIaW-IV-VIId-1962-2016-ICESIMP2016,CODIIIaW-IV-VIId,European Union,Great Britain,27
70,WGCSE-CODIS-1967-2016-ICESIMP2016,CODIS,European Union,Ireland,27
71,WGBFAS-CODKAT-1996-2016-ICESIMP2016,CODKAT,European Union,Denmark,27
72,AFWG-CODNEAR-1943-2016-ICESIMP2016,CODNEAR,Europe non EU,Russia,27
73,AFWG-CODNEARNCW-1982-2016-ICESIMP2016,CODNEARNCW,Europe non EU,Norway,27
74,WGCSE-CODVIa-1981-2016-ICESIMP2016,CODVIa,European Union,Great Britain,27
75,WGCSE-CODVIIek-1970-2016-ICESIMP2016,CODVIIek,European Union,France,27
76,SWFSC-CPRROCKPCOAST-1916-2012-SISIMP2016,CPRROCKPCOAST,US West Coast,USA,77
77,NWFSC-CROCKPCOAST-1892-2015-SISIMP2016,CROCKPCOAST,US West Coast,USA,67
78,IFOPCH-CSARDCSCH-1990-2015-PARMA,CSARDCSCH,South America,Chile,87
79,WGDEEP-CUSKVa-XIV-1981-2016-ICESIMP2016,CUSKVa-XIV,European Union,Iceland,27
80,CSIRO-DEEPFLATHEADSE-1980-2015-MOESENEDER,DEEPFLATHEADSE,Australia,Australia,81
81,NWFSC-DKROCKPCOAST-1915-2015-SISIMP2016,DKROCKPCOAST,US West Coast,USA,67
82,AFSC-DSOLEGA-1978-2015-SISIMP2016,DSOLEGA,US Alaska,USA,67
83,AFSC-DUSROCKGA-1977-2015-SISIMP2016,DUSROCKGA,US Alaska,USA,67
84,WGCSE-EBASSIVbc-VII-1985-2016-ICESIMP2016,EBASSIVbc-VII,European Union,France,27
85,NWFSC-ESOLEPCOAST-1876-2012-SISIMP2016,ESOLEPCOAST,US West Coast,USA,67
86,AFSC-FLSOLEBSAI-1977-2015-SISIMP2016,FLSOLEBSAI,US Alaska,USA,67
87,AFSC-FLSOLEGA-1978-2015-SISIMP2016,FLSOLEGA,US Alaska,USA,67
88,WGBIE-FMEG8c9a-1986-2016-ICESIMP2016,FMEG8c9a,European Union,Portugal,27
89,SEFSC-GAGSATLC-1962-2012-SISIMP2016,GAGSATLC,US Southeast and Gulf,USA,31
90,AFWG-GHALNEAR-1992-2015-ICESIMP2016,GHALNEAR,Europe non EU,Norway,27
91,AFWG-GOLDREDNEAR-1908-2016-ICESIMP2016,GOLDREDNEAR,Europe non EU,Norway,27
92,NWWG-GOLDREDV-VI-XII-XIV-1971-2016-ICESIMP2016,GOLDREDV-VI-XII-XIV,European Union,Iceland,27
93,SEFSC-GRAMBERGM-1950-2012-SISIMP2016,GRAMBERGM,US Southeast and Gulf,USA,31
94,SEFSC-GTRIGGM-1945-2013-SISIMP2016,GTRIGGM,US Southeast and Gulf,USA,31
95,NEFSC-HAD5Y-1977-2014-SISIMP2016,HAD5Y,US East Coast,USA,21
96,NWWG-HADFAPL-1955-2016-ICESIMP2016,HADFAPL,Europe non EU,Faroe Islands,27
97,NEFSC-HADGB-1960-2014-SISIMP2016,HADGB,US East Coast,USA,21
98,NWWG-HADICE-1977-2016-ICESIMP2016,HADICE,Europe non EU,Iceland,27
99,WGCSE-HADIS-1991-2016-ICESIMP2016,HADIS,European Union,Great Britain,27
100,AFWG-HADNEAR-1947-2016-ICESIMP2016,HADNEAR,Europe non EU,Norway,27
101,WGNSSK-HADNS-IIIa-VIa-1972-2015-ICESIMP2016,HADNS-IIIa-VIa,European Union,Iceland,27
102,WGCSE-HADROCK-1990-2016-ICESIMP2016,HADROCK,European Union,Great Britain,27
103,WGCSE-HADVIIb-k-1993-2016-ICESIMP2016,HADVIIb-k,European Union,France,27
104,STECF-HAKEMEDGSA7-1998-2012-OSIO,HAKEMEDGSA7,Mediterranean-Black Sea,France,37
105,WGBIE-HAKENRTN-1978-2016-ICESIMP2016,HAKENRTN,European Union,France,27
106,WGBIE-HAKESOTH-1982-2016-ICESIMP2016,HAKESOTH,European Union,Spain,27
107,HAWG-HERR2224IIIa-1991-2016-ICESIMP2016,HERR2224IIIa,European Union,Sweden,27
108,WGBFAS-HERR2529-32-1973-2016-ICESIMP2016,HERR2529-32,European Union,Sweden,27
109,WGBFAS-HERR30-1972-2016-ICESIMP2016,HERR30,European Union,Finland,27
110,WGBFAS-HERR31-1979-2016-ICESIMP2016,HERR31,European Union,Finland,27
111,NWWG-HERRIsum-1987-2015-ICESIMP2016,HERRIsum,Europe non EU,Iceland,27
112,HAWG-HERRNIRS-1960-2016-ICESIMP2016,HERRNIRS,European Union,Great Britain,27
113,WGWIDE-HERRNORSS-1988-2015-ICESIMP2016,HERRNORSS,Europe non EU,Norway,27
114,HAWG-HERRNS-IIIa-VIId-1947-2016-ICESIMP2016,HERRNS-IIIa-VIId,European Union,Norway,27
115,NEFSC-HERRNWATLC-1965-2014-SISIMP2016,HERRNWATLC,US East Coast,USA,21
116,WGBFAS-HERRRIGA-1976-2016-ICESIMP2016,HERRRIGA,European Union,Estonia,27
117,HAWG-HERRSIRS-1957-2016-ICESIMP2016,HERRSIRS,European Union,Ireland,27
118,HAWG-HERRVIa-1956-2014-ICESIMP2016,HERRVIa,European Union,Great Britain,27
119,HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016,HERRVIaVIIbc,European Union,Great Britain,27
120,WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2015-ICESIMP2016,HMACKIIa-IVa-Vb-VIa-VII-VIII,European Union,Netherlands,27
121,WGHANSA-HMACKIXa-1992-2016-ICESIMP2016,HMACKIXa,European Union,Portugal,27
122,FAFRFJ-JAMBERJPN-1952-2013-JPNIMP2016,JAMBERJPN,Japan,Japan,61
123,FAFRFJ-JANCHOPJPN-1978-2013-JPNIMP2016,JANCHOPJPN,Japan,Japan,61
124,FAFRFJ-JANCHOSETO-1955-2013-JPNIMP2016,JANCHOSETO,Japan,Japan,61
125,FAFRFJ-JANCHOTSST-1976-2013-JPNIMP2016,JANCHOTSST,Japan,Japan,61
126,FAFRFJ-JMACKPJPN-1982-2013-JPNIMP2016,JMACKPJPN,Japan,Japan,61
127,FAFRFJ-JMACKTSST-1973-2013-JPNIMP2016,JMACKTSST,Japan,Japan,61
128,FAFRFJ-JPUFFIMKB-1993-2013-JPNIMP2016,JPUFFIMKB,Japan,Japan,61
129,FAFRFJ-JPUFFSOJECSSI-1993-2013-JPNIMP2016,JPUFFSOJECSSI,Japan,Japan,61
130,FAFRFJ-KCROCKNPAC-1975-2013-JPNIMP2016,KCROCKNPAC,Japan,Japan,61
131,NWFSC-KELPGREENLINGORECOAST-1915-2015-SISIMP2016,KELPGREENLINGORECOAST,US West Coast,USA,67
132,AFSC-KMFLOUNBSAI-1991-2015-SISIMP2016,KMFLOUNBSAI,US Alaska,USA,67
133,WGDEEP-LINGVa-1982-2016-ICESIMP2016,LINGVa,Europe non EU,Iceland,27
134,WGWIDE-MACKNEICES-1980-2014-ICESIMP2016,MACKNEICES,European Union,Norway,27
135,WGBIE-MEG8c9a-1985-2016-ICESIMP2016,MEG8c9a,European Union,Portugal,27
136,WGBIE-MEGVII-VIIIabd-1983-2016-ICESIMP2016,MEGVII-VIIIabd,European Union,France,27
137,ASMFC-MENATLAN-1940-2017-ASHBROOK,MENATLAN,US East Coast,USA,21
138,NEFSC-MONKGOMNGB-1979-2010-SISIMP2016,MONKGOMNGB,US East Coast,USA,21
139,NEFSC-MONKSGBMATL-1979-2010-SISIMP2016,MONKSGBMATL,US East Coast,USA,21
140,CSIRO-MORWONGESE-1915-2014-MOESENEDER,MORWONGESE,Australia,Australia,81
141,CSIRO-MORWONGWSE-1986-2014-MOESENEDER,MORWONGWSE,Australia,Australia,81
142,SEFSC-MUTSNAPSATLCGM-1981-2013-SISIMP2016,MUTSNAPSATLCGM,US Southeast and Gulf,USA,31
143,WGNSSK-NPOUTIIIa-IV-1983-2014-ICESIMP2016,NPOUTIIIa-IV,European Union,Denmark,27
144,AFSC-NROCKBSAI-1977-2015-SISIMP2016,NROCKBSAI,US Alaska,USA,67
145,AFSC-NROCKGA-1961-2015-SISIMP2016,NROCKGA,US Alaska,USA,67
146,AFSC-NRSOLEEBSAI-1975-2015-SISIMP2016,NRSOLEEBSAI,US Alaska,USA,67
147,AFSC-NRSOLEGA-1977-2015-SISIMP2016,NRSOLEGA,US Alaska,USA,67
148,FAFRFJ-OFLOUNECS-1975-2013-JPNIMP2016,OFLOUNECS,Japan,Japan,61
149,FAFRFJ-OFLOUNNSJ-1970-2013-JPNIMP2016,OFLOUNNSJ,Japan,Japan,61
150,FAFRFJ-OFLOUNSETO-1965-2013-JPNIMP2016,OFLOUNSETO,Japan,Japan,61
151,SPRFMO-OROUGHYCH-1999-2011-PARMA,OROUGHYCH,South America,Chile,87
152,CSIRO-OROUGHYSE-1980-2013-MOESENEDER,OROUGHYSE,Australia,Australia,81
153,ISC-PACBTUNA-1952-2014-PONS,PACBTUNA,Pacific Ocean,Japan,61
154,IFOPCH-PANCHCCH-1985-2016-PARMA,PANCHCCH,South America,Chile,87
155,IFOPCH-PANCHCSCH-1990-2016-PARMA,PANCHCSCH,South America,Chile,87
156,IFOPCH-PANCHNCHSP-1984-2015-PARMA,PANCHNCHSP,South America,Chile,87
157,IMARPE-PANCHPERUNC-1959-2016-HILBORN,PANCHPERUNC,South America,Peru,87
158,IFOPCH-PATGRENADIERCH-1977-2015-PAYA,PATGRENADIERCH,South America,Chile,87
159,INIDEP-PATGRENADIERSARG-1983-2015-PARMA,PATGRENADIERSARG,South America,Argentina,41
160,INIDEP-PCEELARGS-1979-2014-CORDO,PCEELARGS,South America,Argentina,41
161,IFOPCH-PCEELCSCH-1975-2015-PARMA,PCEELCSCH,South America,Chile,87
162,IFOPCH-PCEELSCH-1975-2015-PARMA,PCEELSCH,South America,Chile,87
163,AFSC-PCODAI-1991-2014-SISIMP2016,PCODAI,US Alaska,USA,67
164,AFSC-PCODBS-1977-2015-SISIMP2016,PCODBS,US Alaska,USA,67
165,AFSC-PCODGA-1977-2015-SISIMP2016,PCODGA,US Alaska,USA,67
166,FAFRFJ-PCODNPAC-1975-2014-JPNIMP2016,PCODNPAC,Japan,Japan,61
167,AFSC-PERCHEBSAI-1960-2015-SISIMP2016,PERCHEBSAI,US Alaska,USA,67
168,FAFRFJ-PHFLOUNSOJ-1966-2013-JPNIMP2016,PHFLOUNSOJ,Japan,Japan,61
169,FAFRFJ-PILCHPJPN-1975-2013-JPNIMP2016,PILCHPJPN,Japan,Japan,61
170,FAFRFJ-PILCHTSST-1960-2013-JPNIMP2016,PILCHTSST,Japan,Japan,61
171,WGBFAS-PLAIC2123-1998-2016-ICESIMP2016,PLAIC2123,European Union,Denmark,27
172,WGBFAS-PLAIC2432-2001-2015-ICESIMP2016,PLAIC2432,European Union,Denmark,27
173,WGNSSK-PLAIC7d-1979-2016-ICESIMP2016,PLAIC7d,European Union,France,27
174,WGCSE-PLAICCELT-1993-2016-ICESIMP2016,PLAICCELT,European Union,Belgium,27
175,WGCSE-PLAICECHW-1978-2016-ICESIMP2016,PLAICECHW,European Union,Great Britain,27
176,WGCSE-PLAICIS-1964-2016-ICESIMP2016,PLAICIS,European Union,Great Britain,27
177,WGNSSK-PLAICNS-1956-2016-ICESIMP2016,PLAICNS,European Union,Netherlands,27
178,WGCSE-PLAICVIIh-k-1989-2015-ICESIMP2016,PLAICVIIh-k,European Union,France,27
179,NEFSC-POLL5YZ-1970-2014-SISIMP2016,POLL5YZ,US East Coast,USA,21
180,NWWG-POLLFAPL-1958-2016-ICESIMP2016,POLLFAPL,Europe non EU,Faroe Islands,27
181,NWWG-POLLIEG-1977-2016-ICESIMP2016,POLLIEG,Europe non EU,Iceland,27
182,AFWG-POLLNEAR-1957-2016-ICESIMP2016,POLLNEAR,Europe non EU,Norway,27
183,WGNSSK-POLLNS-VI-IIIa-1964-2016-ICESIMP2016,POLLNS-VI-IIIa,European Union,Iceland,27
184,AFSC-POPERCHGA-1961-2015-SISIMP2016,POPERCHGA,US Alaska,USA,67
185,NWFSC-PSOLEPCOAST-1876-2015-SISIMP2016,PSOLEPCOAST,US West Coast,USA,67
186,IFP-PTOOTHFISHCH-1975-2014-TASCHERI,PTOOTHFISHCH,South America,Chile,87
187,FAFRFJ-RBRMECS-1969-2013-JPNIMP2016,RBRMECS,Japan,Japan,61
188,FAFRFJ-RBRMSETOE-1977-2013-JPNIMP2016,RBRMSETOE,Japan,Japan,61
189,FAFRFJ-RBRMSETOW-1977-2013-JPNIMP2016,RBRMSETOW,Japan,Japan,61
190,CSIRO-REDFEAUS-1975-2013-MOESENEDER,REDFEAUS,Australia,Australia,81
191,AFSC-REXSOLEGA-1982-2014-SISIMP2016,REXSOLEGA,US Alaska,USA,67
192,NWFSC-REXSOLEPCOAST-1896-2012-SISIMP2016,REXSOLEPCOAST,US West Coast,USA,67
193,SEFSC-RGROUPGM-1993-2013-SISIMP2016,RGROUPGM,US Southeast and Gulf,USA,31
194,FAFRFJ-RHERRTSST-1976-2013-JPNIMP2016,RHERRTSST,Japan,Japan,61
195,FAFRFJ-RSFLOUNSOJ-1966-2013-JPNIMP2016,RSFLOUNSOJ,Japan,Japan,61
196,SEFSC-RSNAPGM-1872-2013-SISIMP2016,RSNAPGM,US Southeast and Gulf,USA,31
197,SEFSC-RSNAPSATLC-1950-2014-SISIMP2016,RSNAPSATLC,US Southeast and Gulf,USA,31
198,AFSC-RSOLEGA-1977-2015-SISIMP2016,RSOLEGA,US Alaska,USA,67
199,AFSC-SABLEFEBSAIGA-1960-2015-SISIMP2016,SABLEFEBSAIGA,US Alaska,USA,67
200,NWFSC-SABLEFPCOAST-1900-2015-SISIMP2016,SABLEFPCOAST,US West Coast,USA,67
201,STECF-SARDMEDGSA17-18-1975-2015-OSIO,SARDMEDGSA17-18,Mediterranean-Black Sea,Italy,37
202,STECF-SARDMEDGSA6-2003-2015-OSIO,SARDMEDGSA6,Mediterranean-Black Sea,Spain,37
203,SWFSC-SARDPCOAST-1994-2016-SISIMP2016,SARDPCOAST,US West Coast,USA,77
204,WGHANSA-SARDPVIIIc-IXa-1978-2016-ICESIMP2016,SARDPVIIIc-IXa,European Union,Portugal,27
205,MARAM-SARDSA-1949-2015-deMoor,SARDSA,South Africa,South Africa,47
206,FAFRFJ-SAURNWPAC-1980-2013-JPNIMP2016,SAURNWPAC,Japan,Japan,61
207,SEFSC-SBARSHARATL-1960-2009-SISIMP2016,SBARSHARATL,US Southeast and Gulf,USA,31
208,SPRFMO-SBREAMCH-1989-2011-CHING,SBREAMCH,South America,Chile,87
209,CCSBT-SC-SBT-1931-2016-PONS,SBT,Indian Ocean,Japan,57
210,INIDEP-SBWHITARGS-1985-2015-PARMA,SBWHITARGS,South America,Argentina,41
211,IFOPCH-SBWHITCH-1977-2016-PARMA,SBWHITCH,South America,Chile,87
212,NEFSC-SCUPNWATLC-1984-2014-SISIMP2016,SCUPNWATLC,US East Coast,USA,21
213,NEFSC-SDOGATLC-1991-2015-SISIMP2016,SDOGATLC,US East Coast,USA,21
214,HAWG-SEELNSSA1-1983-2016-ICESIMP2016,SEELNSSA1,European Union,Denmark,27
215,HAWG-SEELNSSA2-1983-2016-ICESIMP2016,SEELNSSA2,European Union,Denmark,27
216,HAWG-SEELNSSA3-1983-2016-ICESIMP2016,SEELNSSA3,European Union,Denmark,27
217,NEFSC-SFLOUNMATLC-1982-2014-SISIMP2016,SFLOUNMATLC,US East Coast,USA,21
218,NEFSC-SHAKEGOMNGB-1963-2013-SISIMP2016,SHAKEGOMNGB,US East Coast,USA,21
219,NEFSC-SHAKESGBMATL-1963-2013-SISIMP2016,SHAKESGBMATL,US East Coast,USA,21
220,NWFSC-SHCROCKPCOAST-1892-2012-SISIMP2016,SHCROCKPCOAST,US West Coast,USA,67
221,CSIRO-SILVERFISHSE-1980-2014-MOESENEDER,SILVERFISHSE,Australia,Australia,81
222,SPC-SKJCWPAC-1950-2015-PONS,SKJCWPAC,Pacific Ocean,Japan,71
223,ICCAT-SKJEATL-1951-2016-PONS,SKJEATL,Atlantic Ocean,Spain,34
224,IATTC-SKJEPAC-1918-2016-PONS,SKJEPAC,Pacific Ocean,Ecuador,77
225,SEFSC-SMDOGATL-1981-2012-SISIMP2016,SMDOGATL,US East Coast,USA,21
226,STECF-SMULLMEDGSA9-2006-2015-OSIO,SMULLMEDGSA9,Mediterranean-Black Sea,Italy,37
227,WGCSE-SOLECS-1970-2016-ICESIMP2016,SOLECS,European Union,Belgium,27
228,WGBFAS-SOLEIIIa-2224-1983-2016-ICESIMP2016,SOLEIIIa-2224,European Union,Denmark,27
229,WGCSE-SOLEIS-1968-2016-ICESIMP2016,SOLEIS,European Union,Belgium,27
230,WGNSSK-SOLENS-1956-2016-ICESIMP2016,SOLENS,European Union,Netherlands,27
231,WGNSSK-SOLEVIId-1981-2016-ICESIMP2016,SOLEVIId,European Union,France,27
232,WGCSE-SOLEVIIe-1967-2016-ICESIMP2016,SOLEVIIe,European Union,Great Britain,27
233,WGCSE-SOLEVIIh-k-1990-2016-ICESIMP2016,SOLEVIIh-k,European Union,France,27
234,WGBIE-SOLEVIIIab-1982-2016-ICESIMP2016,SOLEVIIIab,European Union,France,27
235,IFOPCH-SOUTHHAKECH-1977-2015-PARMA,SOUTHHAKECH,South America,Chile,87
236,FAFRFJ-SPANMACKSETO-1987-2013-JPNIMP2016,SPANMACKSETO,Japan,Japan,61
237,IFOPCH-SPHAKECH-1940-2015-TASCHERI,SPHAKECH,South America,Chile,87
238,WGBFAS-SPRAT22-32-1973-2016-ICESIMP2016,SPRAT22-32,European Union,Poland,27
239,HAWG-SPRATNS-1974-2016-ICESIMP2016,SPRATNS,European Union,Denmark,27
240,WGEF-SPURDNEATL-1905-2014-ICESIMP2016,SPURDNEATL,European Union,Norway,27
241,AFSC-SRAKEROCKBSAI-2004-2014-SISIMP2016,SRAKEROCKBSAI,US Alaska,USA,67
242,AFSC-SRAKEROCKGA-1993-2014-SISIMP2016,SRAKEROCKGA,US Alaska,USA,67
243,FAFRFJ-SSANDWSJ-1970-2013-JPNIMP2016,SSANDWSJ,Japan,Japan,61
244,IFOPCH-SSARDCH-2006-2016-PARMA,SSARDCH,South America,Chile,87
245,AFSC-SSTHORNHGA-1980-2014-SISIMP2016,SSTHORNHGA,US Alaska,USA,67
246,NWFSC-SSTHORNHPCOAST-1901-2013-SISIMP2016,SSTHORNHPCOAST,US West Coast,USA,67
247,ISC-STMARLINWCNPAC-1974-2013-SISIMP2016,STMARLINWCNPAC,Pacific Ocean,Japan,77
248,CSIRO-SWHITSE-1947-2008-MOESENEDER,SWHITSE,Australia,Australia,57
249,CSIRO-TIGERFLATSE-1915-2015-MOESENEDER,TIGERFLATSE,Australia,Australia,81
250,SEFSC-TILESATLC-1962-2014-SISIMP2016,TILESATLC,US Southeast and Gulf,USA,31
251,WGNSSK-TURIV-1974-2015-ICESIMP2016,TURIV,European Union,Netherlands,27
252,SEFSC-VSNAPGM-1950-2014-SISIMP2016,VSNAPGM,US Southeast and Gulf,USA,31
253,WGBIE-WANGLVIIIc-IXa-1980-2016-ICESIMP2016,WANGLVIIIc-IXa,European Union,Portugal,27
254,CSIRO-WAREHOUESE-1986-2008-MOESENEDER,WAREHOUESE,Australia,Australia,81
255,CSIRO-WAREHOUWSE-1986-2008-MOESENEDER,WAREHOUWSE,Australia,Australia,57
256,NEFSC-WHAKEGBGOM-1963-2014-SISIMP2016,WHAKEGBGOM,US East Coast,USA,21
257,WGNSSK-WHITNS-VIId-1989-2016-ICESIMP2016,WHITNS-VIId,European Union,Great Britain,27
258,WGCSE-WHITVIa-1980-2016-ICESIMP2016,WHITVIa,European Union,Great Britain,27
259,WGCSE-WHITVIIek-1999-2016-ICESIMP2016,WHITVIIek,European Union,France,27
260,NEFSC-WINDOWGOMGB-1975-2014-SISIMP2016,WINDOWGOMGB,US East Coast,USA,21
261,NEFSC-WINDOWSNEMATL-1975-2014-SISIMP2016,WINDOWSNEMATL,US East Coast,USA,21
262,NEFSC-WINFLOUN5Z-1982-2014-SISIMP2016,WINFLOUN5Z,US East Coast,USA,21
263,NEFSC-WINFLOUNSNEMATL-1980-2013-SISIMP2016,WINFLOUNSNEMATL,US East Coast,USA,21
264,NEFSC-WITFLOUN5Y-1982-2014-SISIMP2016,WITFLOUN5Y,US East Coast,USA,21
265,FAFRFJ-WLFLOUNNPAC-1997-2013-JPNIMP2016,WLFLOUNNPAC,Japan,Japan,61
266,AFSC-WPOLLAI-1978-2015-SISIMP2016,WPOLLAI,US Alaska,USA,67
